title,date
"Hunters' Lodges",1837-12-07
"Survivor Series (2007)",2007-11-18
"Battle of Komarów",1920-09-02
"Battle of South Guangxi",1939-11-15
"Operation Krohcol",1941-12-11
"United States Senate election in Colorado, 1980",1980-11-03
"Package Q Strike",1991-01-19
"Battle of Semur River",1950-03-25
"Battle of Cape Matapan",1941-03-29
"United States House of Representatives elections in California, 1998",1998-11-03
"United States Senate election in Massachusetts, 1972",1972-11-07
"Missouri gubernatorial election, 1840",1840-08-03
"Bombing of Rabaul (November 1943)",1943-11-11
"2003 UEFA Cup Final",2003-05-21
"Alagoas gubernatorial election, 2010",2010-10-31
"58th Berlin International Film Festival",2008-02-17
"Battle off Minicoy Island",2011-01-28
"Pacification of Manchukuo",1931-11-04
"1993 Scottish League Cup Final",1993-10-24
"Yellowstone Expedition of 1873",1873-06-20
"Action of 30 September 1639",1639-09-30
"1570 Concepción earthquake",1570-02-08
"Ceylonese State Council election, 1936",1936-02-22
"Northern Territory general election, 1987",1987-03-07
"1913 German football championship",1913-05-11
"Columbus, Ohio mayoral election, 2015",2015-11-03
"Czech legislative election, 2013",2013-10-26
"Battle of Waynesboro, Virginia",1865-03-02
"Maltese local council elections, 2015",2015-04-11
"Triplemanía I",1993-04-30
"Turning Point (2011 wrestling)",2011-11-13
"Hell in a Cell (2013)",2013-10-27
"Alberta municipal censuses, 2012",2012-06-30
"EliteXC: Primetime",2008-05-31
"Operation Varsity",1945-03-24
"2011 UEFA Super Cup",2011-08-26
"Greek legislative election, May 2012",2012-05-06
"United States House of Representatives elections, 1924",1924-11-04
"2004 Copa del Rey Final",2004-03-17
"Battle of Kula Gulf",1943-07-06
"South African general election, 1921",1921-02-08
"Giant Baba Memorial Six Man Tag Team Tournament",2002-05-12
"Battle of Schleiz",1806-10-09
"Starrcade (1996)",1996-12-29
"Battle of Guté Dili",1888-10-14
"Sheffield City Council election, 2008",2008-05-01
"1994 Bolivia earthquake",1994-06-09
"Battle of Walcheren Causeway",1944-10-31
"Siege of Tourane",1858-09-01
"Battle of Azcapotzalco",1821-08-19
"Battle of the Atlantic",1939-09-03
"Zimbabwean Senate election, 2005",2005-11-26
"2014 Copa del Rey Final",2014-04-16
"Dream 13",2010-03-22
"New Zealand general election, 1969",1969-11-29
"Battle of St Pol de Léon",1346-06-09
"United States presidential election, 1928",1928-11-06
"The Great American Bash",2000-06-11
"Republican Party presidential primaries, 1988",1988-06-14
"United States presidential election in Arizona, 2008",2008-11-04
"Heroes of Wrestling",1999-10-10
"Bash at the Beach (1996)",1996-07-07
"2008 Suruga Bank Championship",2008-07-30
"Siege of Maribor (1532)",1532-09-21
"Western Desert Campaign",1940-06-11
"Western Australian state election, 1930",1930-04-12
"Battle of Hedgeley Moor",1464-04-25
"Battle of Arlabán (1811)",1811-05-25
"1991 Hopman Cup",1990-12-27
"United States Virgin Islands gubernatorial election, 2010",2010-11-02
"Battle of Araouane",2013-12-10
"New York gubernatorial election, 1832",1832-11-07
"Kuomintang chairmanship election, 2013",2013-07-20
"Capture of Lesboeufs",1916-09-25
"Diyala campaign",2006-12-25
"French legislative election, 1846",1846-08-01
"Newham South by-election, 1974",1974-05-23
"Battle of Beaver Dam Creek",1862-06-26
"Jementah Civil War",1879-12-30
"Bratislava–Brno Offensive",1945-05-05
"Operation Flash",1995-05-03
"Battle of Fort Bisland",1863-04-13
"1958 Lituya Bay megatsunami",1958-07-10
"Croatian presidential election, 1997",1997-06-15
"TLC: Tables, Ladders and Chairs (2012)",2012-12-16
"Combat of Stockerau",1809-07-08
"2014 Libyan coup d'état attempts",2014-02-14
"Arkansas gubernatorial election, 1982",1982-11-02
"Macanese legislative election, 2001",2001-09-23
"Battle of Beaufort",1779-02-03
"1992 Peruvian constitutional crisis",1992-04-05
"United Kingdom general election, 1895",1895-08-07
"Russian legislative election, 1993",1993-12-12
"Ontario general election, 1898",1898-03-01
"United States Senate election in Vermont, 1986",1986-11-04
"1990 All-Ireland Senior Hurling Championship Final",1990-09-02
"United States presidential election in Florida, 2016",2016-11-08
"Victorian state election, 1937",1937-10-02
"Minnesota Senate election, 1976",1976-11-02
"2001 MLS All-Star Game",2001-07-28
"United States presidential election, 1824",1824-12-02
"Kerry County Council election, 1999",1999-06-10
"Royal Rumble (2005)",2005-01-30
"Siege of Kolding (1658)",1658-12-25
"1985 Pichilemu earthquake",1985-04-08
"Michigan gubernatorial election, 1994",1994-11-08
"2015 Taça de Portugal Final",2015-05-31
"Siege of Wiener Neustadt",1487-01-13
"Irish general election, 1965",1965-04-07
"Strikeforce: Tate vs. Rousey",2012-03-03
"Crossing of the Somme",1636-08-05
"Battle of Sauðafell",1550-10-02
"1987 Santiago de Chuco earthquake",1987-10-02
"2005 All-Ireland Senior Hurling Championship Final",2005-09-11
"2010 Kenya–Al-Shabaab border clash",2010-07-20
"1990 Bulgarian Cup Final",1990-05-30
"2014 FA Women's Cup Final",2014-06-01
"Hamilton, Ontario, municipal election, 2018",2018-10-22
"1996 All-Ireland Senior Football Championship Final",1996-09-29
"Invasion of Hamra al-Asad",0625-03-24
"Operation Little Saturn",1942-12-12
"Royal Rumble (2007)",2007-01-28
"Cambridgeshire County Council election, 2009",2009-06-04
"1965 Rat Islands earthquake",1965-02-04
"Northern Ireland general election, 1949",1949-02-19
"ROH Undeniable",2008-01-18
"United States presidential election in Alabama, 1836",1836-12-07
"Global Relay Gastown Grand Prix",2013-07-10
"United States Senate election in Ohio, 1998",1998-11-03
"Texas gubernatorial election, 1855",1855-08-06
"Battle of Carrizo Canyon",1881-08-12
"United States Senate election in Ohio, 1976",1976-11-02
"Battle of the Oinousses Islands",1695-02-19
"1995 Ukrainian Cup Final",1995-05-28
"United States presidential election in Michigan, 1988",1988-11-08
"Tamil Nadu Legislative Assembly by-election, 2009–2010",2010-03-27
"Battle of Kloster Kampen",1760-10-15
"United States presidential election in Georgia, 1984",1984-11-06
"1956 German football championship",1956-06-24
"Fully Loaded: In Your House",1998-07-26
"Autonomous Region in Muslim Mindanao general election, 2013",2013-05-13
"Massachusetts gubernatorial election, 2014",2014-11-04
"Dover District Council election, 2011",2011-05-05
"2012 Scottish Youth Cup Final",2012-04-23
"2015 King Cup Final",2015-06-05
"Ross and Cromarty by-election, 1936",1936-02-10
"New Hampshire gubernatorial election, 2002",2002-11-05
"1997 UEFA Champions League Final",1997-05-28
"Naval Battle of Vella Lavella",1943-10-06
"Battle of Livno",1943-12-06
"Russian legislative election, 2003",2003-12-07
"Battle of Mocopulli",1824-04-01
"2010 Welsh Cup Final",2010-05-01
"2013 Liga Indonesia Premier Division (LI) Final",2013-09-14
"Heiji Rebellion",1160-02-05
"1900 All-Ireland Senior Football Championship Final",1900-10-26
"Battle of Malvern Hill",1862-07-01
"Battle of Kororareka",1845-03-11
"1891 All-Ireland Senior Football Championship Final",1892-02-28
"European Parliament election, 1984 (Luxembourg)",1984-06-17
"1855 Edo earthquake",1855-11-11
"Battle of Guadeloupe (1779)",1779-12-22
"Battle of Rymnik",1789-09-22
"United States presidential election in Virginia, 1956",1956-11-06
"Battle of Mud Lake",1865-03-14
"Operation Shader",2014-09-26
"2006 Cannes Film Festival",2006-05-17
"Roraima gubernatorial election, 2010",2010-10-31
"1786 Kangding-Luding earthquake",1786-06-01
"UFC 148",2012-07-07
"1703 Apennine earthquakes",1703-01-14
"CMLL 70th Anniversary Show",2003-09-19
"Battle of Vilnius (1702)",1702-04-16
"Battle of Novi (1799)",1799-08-15
"Solomon Islands general election, 2010",2010-08-04
"Siege of Narva (1704)",1704-08-09
"1973 European Cup Winners' Cup Final",1973-05-16
"1986 African Cup of Nations Final",1986-03-21
"Battle of El Quilo",1814-03-19
"Finnish presidential election, 2000",2000-02-06
"Battle of Sadras",1782-02-17
"1986 Munster Senior Hurling Championship Final",1986-07-20
"Vermont gubernatorial election, 1882",1882-09-05
"West Virginia gubernatorial election, 2008",2008-11-04
"United States Senate elections, 1914",1914-11-03
"Boiling Point (2012)",2012-08-11
"United States presidential election in Iowa, 1980",1980-11-04
"Tuscan regional election, 1995",1995-04-23
"Operation Patio",1970-04-29
"W.A.K.O. World Championships 2005 (Agadir)",2005-09-25
"UFC on Fuel TV: Gustafsson vs. Silva",2012-04-14
"Battle of Surabaya",1945-11-20
"Second Battle of Mount Hermon",1973-10-08
"Christchurch North by-election, 1911",1911-08-17
"Battle of the Golden Spurs",1302-07-11
"Battle at Nicosia Hospital",1956-08-31
"1984 Bulgarian Cup Final",1984-06-02
"1936 Cansiglio earthquake",1936-10-18
"1970 FIFA World Cup Final",1970-06-21
"Ukrainian presidential election, 1999",1999-11-14
"2007 DFB-Pokal Final",2007-05-26
"1998 UEFA Cup Final",1998-05-06
"Tamil Nadu Legislative Assembly election, 2011",2011-04-13
"Battle of Raj Mahal",1576-07-12
"Wellington North by-election, 1918",1918-02-12
"Italian Senate election in Lombardy, 1963",1963-04-28
"Battle of Canton (May 1841)",1841-05-30
"Battle of Castalla",1813-04-13
"United States presidential election, 1944",1944-11-07
"Minnesota House of Representatives election, 1988",1988-11-08
"Columbus, Ohio mayoral election, 1919",1919-11-04
"Estonian parliamentary election, 2003",2003-03-02
"Battle of Cole Camp (1861)",1861-06-19
"Assault on Rutbah Fort (1941)",1941-05-11
"Speaker of the British House of Commons election, 2009",2009-06-22
"Taumarunui by-election, 1915",1915-06-15
"United States House of Representatives elections in California, 1912",1912-11-05
"Cuban general election, 1905",1905-12-01
"1993 Football League Trophy Final",1993-05-22
"1992 Toronto International Film Festival",1992-09-10
"United States House of Representatives election in Vermont, 1994",1994-11-08
"South African general election, 1989",1989-09-06
"Hainan Island incident",2001-04-01
"United States Senate election in Kentucky, 2014",2014-11-04
"United States House of Representatives election in Alaska, 1996",1996-11-05
"2010 FA Women's Cup Final",2010-05-03
"Battle of Slater's Knoll",1945-04-06
"Queensland state election, 1926",1926-05-08
"Ingham incident",1835-06-14
"EMLL 13th Anniversary Show",1946-09-28
"1977 San Juan earthquake",1977-11-23
"Battle of Bassignano",1745-09-27
"United States House of Representatives elections in New Jersey, 2016",2016-11-08
"1998 Papua New Guinea earthquake",1998-07-17
"Clonbanin ambush",1921-03-05
"Kentucky gubernatorial election, 2003",2003-11-06
"Battle of Kolombangara",1943-07-13
"Alberta general election, 1909",1909-03-22
"Maine gubernatorial election, 1990",1990-11-06
"United States presidential election in Ohio, 1972",1972-11-07
"Greco-Italian War",1940-10-28
"1989 Toronto International Film Festival",1989-09-07
"1955 Cupa României Final",1955-12-18
"1944 All-Ireland Senior Camogie Championship Final",1944-11-05
"2011 Guerrero earthquake",2011-05-05
"American Civil War",1865-06-22
"United States presidential election in Wisconsin, 1996",1996-11-05
"2012 Armenian–Azerbaijani border clashes",2012-06-04
"United States Senate election in Wisconsin, 1994",1994-11-03
"Labis Incident",1950-01-22
"1947 Assam earthquake",1947-07-29
"1928 Chachapoyas earthquake",1928-05-14
"Battle of Kismayo (2012)",2012-10-01
"1966 Xingtai earthquake",1966-03-08
"Massachusetts gubernatorial election, 1974",1974-11-05
"Operation Trident (1971)",1971-12-05
"North Rhine-Westphalia state election, 1990",1990-05-13
"Pennsylvania gubernatorial election, 1811",1811-11-05
"Montenegrin parliamentary election, 2006",2006-12-10
"Battle of Middle Boggy Depot",1864-02-13
"Derby City Council election, 2008",2007-05-03
"United States House of Representatives elections, 1798",1798-04-24
"Battle of Malacca (1641)",1640-08-02
"Action of 4 May 1917",1917-05-04
"Nottingham City Council election, 2011",2011-05-05
"Sonderbund War",1847-11-29
"Australian Capital Territory general election, 1998",1998-02-21
"Mid Ulster by-election, 2013",2013-03-07
"Battle of Le Mans (1793)",1793-12-13
"Aberdeen City Council election, 2003",2003-05-01
"Battle of Fort St. George",1780-11-23
"Royal Rumble (2013)",2013-01-27
"1939 All-Ireland Senior Camogie Championship Final",1939-11-12
"WrestleMania XI",1995-04-02
"Battle of Cape Spartel",1782-10-20
"Operation Cottage",1943-08-15
"EICMA",2015-11-19
"2011 Christchurch earthquake",2011-02-22
"Labour Party (UK) deputy leadership election, 2007",2007-06-06
"New Zealand Liberal Party leadership election, 1913",1913-09-11
"United States presidential election in Colorado, 1996",1996-11-05
"United States presidential election, 1804",1804-12-05
"Battleground (2013)",2013-10-06
"Georgia gubernatorial election, 1962",1962-11-06
"United States Senate elections, 2020",2020-11-03
"Battle of Mile Hill",1862-09-02
"UFC 65",2006-11-18
"Kot massacre",1846-09-19
"Raid on Griessie",1807-12-11
"Operation Coronado II",1967-07-31
"Siege of Fort Julien",1801-04-19
"1903 All-Ireland Senior Hurling Championship Final",1905-11-12
"Battle of Fort Apache",1881-09-01
"São Paulo gubernatorial election, 2006",2006-10-01
"North-West Rebellion",1885-06-03
"Operation Tan No. 2",1945-03-11
"Survival of the Fittest (2015)",2015-11-14
"Battle of Monte Pelado",1936-08-28
"Battle of Ap Da Bien",1973-10-03
"Sack of Rome (455)",0455-06-16
"1926 FA Charity Shield",1926-10-06
"EMLL 40th Anniversary Show",1973-09-21
"Sammarinese Constitutional Assembly election, 1906",1906-03-25
"South Dakota Republican primary, 2008",2008-06-03
"PNS Mehran attack",2011-05-23
"UFC 161",2013-06-15
"Pride Grand Prix 2000 Opening Round",2000-01-30
"1964 Taça de Portugal Final",1964-07-05
"1959 Egypt Cup Final",1959-04-24
"Battle of Poplar Grove",1900-03-07
"Hessian state election, 2008",2008-01-27
"Earthquake of 1343",1343-11-25
"Marian civil war",1573-05-28
"Franche-Comté regional election, 2010",2010-03-21
"1888 Río de la Plata earthquake",1888-06-05
"Battle of Havrincourt",1918-09-12
"Battle of Elsenborn Ridge",1944-12-26
"Triplemanía XV",2007-07-15
"1994 Bulgarian Cup Final",1994-05-04
"1897 Assam earthquake",1897-06-12
"Ecuadorian presidential election, 1940",1940-01-11
"Jesselton Revolt",1943-10-09
"UFC Fight Night: Silva vs. Bisping",2016-02-27
"Cebu local elections, 2010",2010-05-10
"Battle of Las Carreras",1849-04-21
"Battle of Pinos Altos",1861-09-27
"Parti Québécois leadership election, 1985",1985-09-29
"Battle of Clyst Heath (1455)",1455-12-15
"United States Senate election in Idaho, 2014",2014-11-04
"1996 Football League Cup Final",1996-03-24
"2013 Oman Super Cup",2013-08-31
"Ukrainian presidential election, 2004",2004-12-26
"1930 North Izu earthquake",1930-11-26
"Greek legislative election, 1974",1974-11-17
"United States presidential election in Maine, 1992",1992-11-03
"United States Senate election in Massachusetts, 1990",1990-11-06
"United States presidential election in New York, 1976",1976-11-02
"Argentine general election, 1928",1928-04-01
"Ingush–Chechen fratricide incident",2006-09-13
"Polish parliamentary election, 2015",2015-10-25
"Action of 7 April 1800",1800-04-07
"Jalumi War",1878-11-01
"United States presidential election in Michigan, 2012",2012-11-06
"Shabwah campaign (March–August 2015)",2015-08-15
"Battle of Santa Clara",1958-12-28
"Seventh Battle of the Isonzo",1916-09-18
"Czech legislative election, 1990",1990-06-09
"New York gubernatorial election, 1840",1840-11-04
"Hong Kong municipal election, 1939",1939-02-08
"Portuguese presidential election, 1925",1925-12-11
"Alabama gubernatorial election, 1994",1994-11-08
"United States Senate election in Delaware, 1982",1982-11-02
"California gubernatorial election, 1914",1914-11-03
"K-1 World Grand Prix 2008 Final",2008-12-06
"Battle of Albrolhos",1631-09-12
"UFC 155",2012-12-29
"10th Vietnam Film Festival",1993-11-14
"Battle of Pingxingguan",1937-09-25
"United States presidential election in Vermont, 1968",1968-11-05
"Battle of Port Cros",1944-08-15
"Battle of Newtownbutler",1689-07-31
"Game of three halves",1894-09-01
"Singaporean general election, 1959",1959-05-30
"Vermont gubernatorial election, 1884",1884-09-02
"Chicago aldermanic elections, 2015",2015-02-24
"Nukufetau by-election, 2004",2004-10-07
"United States presidential election in Arkansas, 1988",1988-11-08
"United States presidential election, 2000",2000-11-07
"Belarusian presidential election, 2015",2015-10-11
"Inverclyde by-election, 2011",2011-06-30
"Hsinchu Campaign",1895-08-02
"Minnesota gubernatorial election, 1910",1910-11-08
"Triplemanía XVI",2008-06-13
"Convoy SC 26",1941-04-05
"Bangladeshi general election, 1988",1988-03-03
"WWC Aniversario",2015-09-26
"UFC Fight Night: Evans vs. Salmon",2007-01-25
"United Kingdom local elections, 2007",2007-05-03
"2014 Deauville American Film Festival",2014-09-05
"1945 All-Ireland Senior Camogie Championship Final",1945-09-30
"Campaign to Suppress Bandits in Western Guangxi",1951-04-15
"Battle of the Berlengas (1666)",1666-07-01
"Operation Jefferson Glenn",1970-09-05
"Opération Épervier",1986-02-13
"Spanish expedition to Balanguingui",1848-02-22
"Starrcade (1997)",1997-12-28
"Columbus, Ohio mayoral election, 1907",1907-11-05
"1985 Mexico City earthquake",1985-09-19
"Operation Musketoon",1942-09-21
"Battle of Slivice",1945-05-12
"Ukraine 1–3 Hungary (1992 association football friendly)",1992-04-29
"Canadian federal election, 1965",1965-11-08
"Battle of Glen Fruin",1603-02-09
"Liberian general election, 2011",2011-11-08
"New Brunswick general election, 1982",1982-10-12
"Battle of Sedan (1940)",1940-05-15
"Indian general election, 1967",1967-02-21
"1951 All-Ireland Senior Camogie Championship Final",1951-08-19
"Bellator Fighting Championships: Season Six  Bellator 60  1",2012-03-09
"Battle of Bornholm (1676)",1676-05-26
"Battle of Chacabuco",1817-02-12
"United States presidential election in Indiana, 1992",1992-11-03
"United States presidential election in Oregon, 2008",2008-11-04
"United States presidential election in New York, 1944",1944-11-07
"Jordanian campaign (1967)",1967-06-07
"1951 FA Cup Final",1951-04-28
"Christchurch South by-election, 1939",1939-06-03
"2015 Belgian Super Cup",2015-07-16
"Battle of Emmendingen",1796-10-19
"Massachusetts gubernatorial election, 1839",1839-11-11
"Zakarpattia Oblast local election, 2006",2006-03-26
"1945 All-Ireland Senior Football Championship Final",1945-09-23
"Battle of Rusokastro",1332-07-18
"2012 Malaysia FA Cup Final",2012-05-19
"United States presidential election in Pennsylvania, 1844",1844-12-04
"2015 Football League Two play-off Final",2015-05-23
"Operation White",1940-11-17
"Massachusetts gubernatorial election, 1948",1948-11-02
"San Diego mayoral election, 2000",2000-11-07
"Battle of Leuthen",1757-12-05
"Bobruysk Offensive",1944-06-28
"London local elections, 1994",1994-05-05
"1980 Ms. Olympia",1980-08-30
"Michigan gubernatorial election, 1974",1974-11-05
"2010 FA Cup Final",2010-05-15
"Capture of the Paquete de Maule",1866-03-06
"Battle of Wavre",1815-06-19
"Battle of Nowshera",1823-03-14
"Battle of Stiklestad",1030-07-29
"Invasion of South Sakhalin",1945-08-25
"Ontario general election, 1879",1879-06-05
"District of Columbia Democratic primary, 2008",2008-02-12
"Minnesota gubernatorial election, 1948",1948-11-02
"Italian regional elections, 2010",2010-03-28
"Battle of Dogali",1887-01-26
"Zimbabwean parliamentary election, 2005",2005-03-31
"1994 Java earthquake",1994-06-03
"2010 Copa del Rey Final",2010-05-19
"The Ultimate Fighter: Brazil 2  UFC on Fuel TV: Nogueira vs. Werdum  1",2013-06-08
"Erotica Expo",2010-08-15
"First Schleswig War",1848-03-24
"1921 All-Ireland Senior Hurling Championship Final",1923-03-04
"Raid on Samaná",1807-02-14
"United States Senate election in New Jersey, 2000",2000-11-07
"Canarian parliamentary election, 1995",1995-05-28
"2010 Solomon Islands earthquake",2010-01-03
"Battle of Gammelsdorf",1313-11-09
"United States presidential election in Washington (state), 2004",2004-11-02
"United States Senate election in Iowa, 1992",1992-11-03
"Battle of São Salvador",1709-02-15
"United States presidential election in Rhode Island, 1980",1980-11-04
"Sieges of Stirling Castle",1304-07-20
"Alberta municipal censuses, 2015",2015-06-30
"Battle of Nasielsk",1920-08-16
"Battle of the Duisburg Convoy",1941-11-09
"1984 Dominican Republic earthquake",1984-06-24
"Battle of García Hernández",1812-07-23
"Battle of Bean's Station",1863-12-14
"Finnish reconquest of the Karelian Isthmus (1941)",1941-09-05
"1933 FA Cup Final",1933-04-29
"Bound for Glory (2014)",2014-10-12
"UFC Fight Night: Bader vs. Saint Preux",2014-08-16
"Florida Democratic primary, 2008",2008-01-29
"South Korean legislative election, 2004",2004-04-15
"Mecklenburg-Vorpommern state election, 2011",2011-09-04
"Battle of Rocky Face Ridge",1864-05-13
"Battle of Modena (1799)",1799-06-12
"United States House of Representatives elections in California, 1888",1888-11-06
"Bombardment of Yeonpyeong",2010-11-23
"Results of the Australian federal election, 2013 (Western Australia)",2013-09-07
"United States presidential election in New Jersey, 2012",2012-11-06
"Siege of Toruń (1658)",1658-12-30
"Siege of Fort Loudoun",1760-08-09
"Operation Uric",1979-09-07
"Battle of Badung Strait",1942-02-20
"United States House of Representatives election in Pennsylvania, 1792",1792-10-09
"SuperBrawl",2001-02-18
"Battle of Dry Creek (1865)",1865-09-08
"Nevada gubernatorial election, 1994",1994-11-08
"Battle of Maserfield",0641-08-05
"Joint Expedition against Franklin",1862-10-03
"Bombing of Wewak",1943-08-21
"Battle of Yellow House Canyon",1877-03-18
"Lithuanian Supreme Soviet election, 1990",1990-02-24
"South Korean presidential election, 1987",1987-12-16
"Rebelión de los Juniors (2012)",2012-03-15
"1986 Toronto International Film Festival",1986-09-04
"Irish general election, 1932",1932-02-16
"Battle at Chignecto",1750-09-03
"Battle of Rovereto",1796-09-04
"Boshin War",1869-05-18
"Battle of Mohács",1526-08-29
"Egyptian presidential election, 2005",2005-09-07
"Philippine House of Representatives elections, 1919",1919-06-03
"United States Senate election in Indiana, 1992",1992-11-03
"Battle of Julianstown",1641-11-29
"Murcian parliamentary election, 1991",1991-05-26
"New York's 9th congressional district special election, 2011",2011-09-13
"Battle of Basra (2003)",2003-04-06
"Marinduque local elections, 2013",2013-05-13
"Hong Kong Election Committee Subsector elections, 2006",2006-12-10
"United States Senate election in Michigan, 2014",2014-11-04
"1958 Copa del Generalísimo Final",1958-06-29
"Siege of Jaén (1245–46)",1246-02-28
"Chi-Town Rumble",1989-02-20
"1976 Deauville American Film Festival",1976-08-31
"Superhero Scramble",2012-07-28
"Battle of Kupres (1992)",1992-04-11
"Fendalton by-election, 1967",1967-04-15
"2016 Sultan Haji Ahmad Shah Cup",2016-02-13
"Montenegrin parliamentary election, 2016",2016-10-21
"2008 FAW Premier Cup Final",2008-03-11
"Castile-La Mancha parliamentary election, 1999",1999-06-13
"United States House of Representatives elections, 1884",1884-11-04
"Montana gubernatorial election, 2004",2004-11-02
"Convoy ON 154",1942-12-30
"Battle of Jowhar",2006-12-27
"Action at Mount Zion Church",1864-07-06
"Battle of Fort Necessity",1754-07-03
"Richmond, California municipal elections, 2014",2014-11-04
"New Zealand general election, 1951",1951-09-01
"United States Senate election in South Carolina, 1992",1992-11-03
"United States House of Representatives elections, 1876",1876-11-07
"United States Senate election in Idaho, 2004",2004-11-02
"Missouri gubernatorial election, 1836",1836-08-01
"United States presidential election in Indiana, 1980",1980-11-04
"Second Battle of Springfield",1863-01-08
"Battle of Sand Butte",1873-04-26
"Iranian local elections, 2006",2006-12-15
"Bahrain 10–0 Indonesia",2012-02-29
"North Korean parliamentary election, 2009",2009-03-08
"Battle of Kagul",1770-08-01
"California State Senate election, 2004",2004-11-02
"1955 Bulgarian Cup Final",1955-12-11
"2005 Cupa României Final",2005-05-11
"1222 Cyprus earthquake",1222-05-11
"United Kingdom general election, 1832 (Ireland)",1832-12-08
"Third Encirclement Campaign against the Honghu Soviet",1932-05-30
"Ontario general election, 1937",1937-10-06
"Order of battle for the Spring Offensive",1918-07-18
"United States presidential election in California, 1964",1964-11-03
"United States Senate election in Alaska, 2016",2016-11-08
"Battle of the Sittang Bend",1945-08-07
"Malayan general election, 1955",1955-07-27
"Battle of Plymouth (1864)",1864-04-20
"United States presidential election, 1912",1912-11-05
"Battle of Flores (1591)",1591-09-01
"Battle of Tournay",1794-05-22
"Return of the Funker",1995-02-25
"Operation Dragoon",1944-09-14
"2013 Trinidad and Tobago Charity Shield",2013-09-06
"West Virginia gubernatorial election, 2012",2012-11-06
"United States presidential election in Iowa, 1988",1988-11-08
"Labour Party (UK) deputy leadership election, 1976",1976-10-21
"1957 German football championship",1957-06-23
"Battle of Chevilly",1870-09-30
"United Nations Security Council election, 1970",1970-10-26
"Florida Attorney General election, 2002",2002-11-05
"German federal election, 1919",1919-01-19
"Delaware gubernatorial election, 2012",2012-11-06
"Bougainville Civil War",1988-12-01
"Battle of Noonday Creek",1864-06-10
"Battle of Arlabán (1812)",1812-04-09
"Battle of Nibley Green",1469-03-20
"Battle of Cremona",1702-02-01
"1979 Israel Super Cup",1979-09-01
"United States Senate election in Nevada, 2016",2016-11-08
"Battle of Monmouth (1233)",1233-11-25
"Convoy PQ 17",1942-07-10
"Battle of Gedo",2011-04-27
"Siege of Vyborg (1710)",1710-06-12
"Swedish general election, 2018",2018-09-09
"Malian presidential election, 2007",2007-04-29
"Battle of Tacuarí",1811-03-09
"Battle of Smolenice",1704-05-28
"1987 Taça de Portugal Final",1987-06-07
"Dunedin mayoral election, 2007",2007-10-13
"Battle of Ramree Island",1945-02-22
"Battle of Hartmannswillerkopf",1915-12-22
"Spanish general election, 1977",1977-06-15
"UFC 182",2015-01-03
"United States presidential election in Alabama, 2012",2012-11-06
"55th World Science Fiction Convention",1997-09-01
"Battle of Lule Burgas",1912-11-02
"Battle of Ammunition Hill",1967-06-06
"Aleppo offensive (October–December 2013)",2013-12-01
"Champagne-Ardenne regional election, 2004",2004-03-28
"European Parliament election, 1987 (Spain)",1987-06-10
"2008 Pakistan earthquake",2008-10-29
"Battle of Mong Cai",1979-03-10
"First Ivorian Civil War",2002-09-19
"Meath County Council election, 2009",2009-06-05
"Battle of Arroyo dos Molinos",1811-10-28
"2015 Tajikistan earthquake",2015-12-07
"United States Senate election in Maryland, 2016",2016-11-08
"Hong Kong municipal election, 1973",1973-03-07
"2005 Sumatra earthquake",2005-03-28
"Danish Folketing election, 1953",1953-04-21
"Vermont gubernatorial election, 1960",1960-11-08
"2014 President's Cup (Maldives) Final",2014-11-30
"Campaign to Suppress Bandits in Eastern China",1949-08-09
"2008 CAF Super Cup",2008-02-23
"New Hampshire gubernatorial election, 2006",2006-11-07
"Greek legislative election, November 1989",1989-11-05
"United States presidential election in Minnesota, 2012",2012-11-06
"Austrian legislative election, 2013",2013-09-29
"Battle of Safira",2013-02-19
"Battle of Kizugawa",1614-11-29
"SM UB-4  Action of 15 August 1915  1",1915-08-15
"Minnesota Senate election, 2000",2000-11-07
"No Way Out (2003)",2003-02-23
"Battle of Dennewitz",1813-09-06
"Daraa and As-Suwayda offensive (June 2015)",2015-06-18
"2014 Sultan Haji Ahmad Shah Cup",2014-01-17
"Turkish general election, 2007",2007-07-22
"Rescue of Jessica Buchanan and Poul Hagen Thisted",2012-01-25
"Battle of Mabitac",1900-09-17
"Affliction: Banned",2008-07-19
"Nemesis Fighting: MMA Global Invasion",2010-12-10
"Battle of Gitschin",1866-06-29
"Battle of Pavia",1525-02-24
"United States presidential election in Illinois, 2012",2012-11-06
"United States House of Representatives elections in California, 1924",1924-11-04
"Pará gubernatorial election, 2014",2014-10-05
"1977 Sumba earthquake",1977-08-19
"1997 Football League Trophy Final",1997-04-20
"Oregon gubernatorial election, 2014",2014-11-04
"Gallinas massacre",1861-09-02
"Alexandrian Crusade",1365-10-12
"Fall of Mazar-i-Sharif",2001-11-09
"United States Senate election in Oklahoma, 1968",1968-11-03
"Spanish general election, 1914",1914-03-08
"Jewels 16th Ring",2011-09-11
"United States Senate election in Vermont, 1998",1998-11-03
"Battle of Königgrätz",1866-07-03
"Battle of Pungdo",1894-07-25
"Battle of Uijeongbu (1951)",1951-01-04
"United States presidential election in Virginia, 1912",1912-11-05
"Belgian general election, 1965",1965-05-23
"Afghan parliamentary election, 2016",2016-10-15
"2014 Iquique earthquake",2014-04-01
"Vermont gubernatorial election, 1940",1940-11-05
"United States Senate election in West Virginia, 2000",2000-11-07
"Battle of the Strait of Otranto (1917)",1917-05-15
